,Character,Usage Rate,Date
0,リュウ,17.08,10-2016
1,ケン,10.187,10-2016
2,ユリアン,7.918,10-2016
3,ナッシュ,5.765,10-2016
4,キャミィ,5.244,10-2016
5,かりん,4.523,10-2016
6,ネカリ,3.985,10-2016
7,ララ,3.873,10-2016
8,春麗,3.747,10-2016
9,ガイル,3.704,10-2016
10,アレックス,3.628,10-2016
11,レインボー・ミカ,3.606,10-2016
12,ザンギエフ,3.517,10-2016
13,ジュリ,3.43,10-2016
14,ベガ,3.307,10-2016
15,バイソン,3.09,10-2016
16,いぶき,3.089,10-2016
17,バルログ,2.631,10-2016
18,バーディー,2.531,10-2016
19,ラシード,2.451,10-2016
20,ダルシム,1.426,10-2016
21,ファン,1.255,10-2016
22,リュウ,17.839,11-2016
23,ケン,10.052,11-2016
24,ナッシュ,5.826,11-2016
25,ユリアン,5.766,11-2016
26,キャミィ,5.177,11-2016
27,かりん,4.705,11-2016
28,ガイル,4.579,11-2016
29,ネカリ,4.075,11-2016
30,ザンギエフ,3.742,11-2016
31,ララ,3.739,11-2016
32,レインボー・ミカ,3.673,11-2016
33,春麗,3.667,11-2016
34,アレックス,3.593,11-2016
35,ベガ,3.48,11-2016
36,ジュリ,3.136,11-2016
37,バイソン,3.095,11-2016
38,いぶき,2.907,11-2016
39,ラシード,2.799,11-2016
40,バルログ,2.769,11-2016
41,バーディー,2.674,11-2016
42,ダルシム,1.469,11-2016
43,ファン,1.236,11-2016
44,リュウ,13.614,12-2016
45,豪鬼,13.464,12-2016
46,ケン,8.183,12-2016
47,ユリアン,4.631,12-2016
48,キャミィ,4.539,12-2016
49,かりん,4.312,12-2016
50,ナッシュ,4.148,12-2016
51,ザンギエフ,4.112,12-2016
52,ララ,4.111,12-2016
53,ガイル,4.003,12-2016
54,ベガ,3.681,12-2016
55,ジュリ,3.467,12-2016
56,アレックス,3.311,12-2016
57,バイソン,3.213,12-2016
58,いぶき,2.941,12-2016
59,ネカリ,2.931,12-2016
60,春麗,2.811,12-2016
61,レインボー・ミカ,2.623,12-2016
62,ラシード,2.574,12-2016
63,バルログ,2.444,12-2016
64,バーディー,2.257,12-2016
65,ダルシム,1.386,12-2016
66,ファン,1.205,12-2016
67,豪鬼,13.922,01-2017
68,リュウ,11.632,01-2017
69,ケン,7.401,01-2017
70,ユリアン,5.41,01-2017
71,キャミィ,4.783,01-2017
72,ララ,4.765,01-2017
73,ガイル,4.733,01-2017
74,ザンギエフ,4.669,01-2017
75,かりん,4.192,01-2017
76,バイソン,4.05,01-2017
77,ベガ,3.974,01-2017
78,いぶき,3.581,01-2017
79,ジュリ,3.372,01-2017
80,ナッシュ,3.304,01-2017
81,アレックス,3.118,01-2017
82,ラシード,2.851,01-2017
83,ネカリ,2.739,01-2017
84,春麗,2.32,01-2017
85,バルログ,2.221,01-2017
86,バーディー,2.202,01-2017
87,レインボー・ミカ,2.147,01-2017
88,ダルシム,1.436,01-2017
89,ファン,1.179,01-2017
90,リュウ,12.764,02-2017
91,豪鬼,10.634,02-2017
92,ケン,8.072,02-2017
93,ユリアン,5.208,02-2017
94,キャミィ,5.027,02-2017
95,ザンギエフ,4.717,02-2017
96,ララ,4.497,02-2017
97,ガイル,4.484,02-2017
98,かりん,4.457,02-2017
99,バイソン,4.144,02-2017
100,ベガ,4.116,02-2017
101,ナッシュ,3.553,02-2017
102,いぶき,3.534,02-2017
103,アレックス,3.296,02-2017
104,ジュリ,3.099,02-2017
105,ネカリ,3.094,02-2017
106,ラシード,2.933,02-2017
107,レインボー・ミカ,2.491,02-2017
108,春麗,2.443,02-2017
109,バーディー,2.304,02-2017
110,バルログ,2.228,02-2017
111,ダルシム,1.642,02-2017
112,ファン,1.262,02-2017
113,リュウ,11.335,03-2017
114,コーリン,10.237,03-2017
115,豪鬼,8.729,03-2017
116,ケン,7.346,03-2017
117,キャミィ,4.575,03-2017
118,ザンギエフ,4.528,03-2017
119,ユリアン,4.515,03-2017
120,ガイル,4.371,03-2017
121,かりん,3.98,03-2017
122,ベガ,3.713,03-2017
123,ララ,3.713,03-2017
124,バイソン,3.635,03-2017
125,いぶき,3.585,03-2017
126,ナッシュ,3.2,03-2017
127,アレックス,2.986,03-2017
128,ネカリ,2.936,03-2017
129,ジュリ,2.649,03-2017
130,ラシード,2.6,03-2017
131,レインボー・ミカ,2.484,03-2017
132,バーディー,2.113,03-2017
133,春麗,2.1,03-2017
134,バルログ,2.057,03-2017
135,ダルシム,1.486,03-2017
136,ファン,1.127,03-2017
137,リュウ,11.622,04-2017
138,豪鬼,8.822,04-2017
139,ケン,8.045,04-2017
140,ザンギエフ,5.057,04-2017
141,ガイル,4.922,04-2017
142,キャミィ,4.756,04-2017
