0,Ryu,17.08,10-2016,SF1,Street Fighter
1,Ken,10.187,10-2016,SF1,Street Fighter
2,Urien,7.918,10-2016,SF3GI,Street Fighter III
3,Nash,5.765,10-2016,SFA,Street Fighter Alpha
4,Cammy,5.244,10-2016,SF2NC,Street Fighter II
5,Karin,4.523,10-2016,SFA3,Street Fighter Alpha
6,Necalli,3.985,10-2016,SF5,Street Fighter V
7,Laura,3.873,10-2016,SF5,Street Fighter V
8,Chun-Li,3.747,10-2016,SF2,Street Fighter II
9,Guile,3.704,10-2016,SF2,Street Fighter II
10,Alex,3.628,10-2016,SF3,Street Fighter III
11,R. Mika,3.606,10-2016,SFA3,Street Fighter Alpha
12,Zangief,3.517,10-2016,SF2,Street Fighter II
13,Juri,3.43,10-2016,SSF4,Street Fighter IV
14,Dictator,3.307,10-2016,SF2,Street Fighter II
15,Boxer,3.09,10-2016,SF2,Street Fighter II
16,Ibuki,3.089,10-2016,SF3,Street Fighter III
17,Claw,2.631,10-2016,SF2,Street Fighter II
18,Birdie,2.531,10-2016,SF1,Street Fighter
19,Rashid,2.451,10-2016,SF5,Street Fighter V
20,Dhalsim,1.426,10-2016,SF2,Street Fighter II
21,F.A.N.G.,1.255,10-2016,SF5,Street Fighter V
22,Ryu,17.839,11-2016,SF1,Street Fighter
23,Ken,10.052,11-2016,SF1,Street Fighter
24,Nash,5.826,11-2016,SFA,Street Fighter Alpha
25,Urien,5.766,11-2016,SF3GI,Street Fighter III
26,Cammy,5.177,11-2016,SF2NC,Street Fighter II
27,Karin,4.705,11-2016,SFA3,Street Fighter Alpha
28,Guile,4.579,11-2016,SF2,Street Fighter II
29,Necalli,4.075,11-2016,SF5,Street Fighter V
30,Zangief,3.742,11-2016,SF2,Street Fighter II
31,Laura,3.739,11-2016,SF5,Street Fighter V
32,R. Mika,3.673,11-2016,SFA3,Street Fighter Alpha
33,Chun-Li,3.667,11-2016,SF2,Street Fighter II
34,Alex,3.593,11-2016,SF3,Street Fighter III
35,Dictator,3.48,11-2016,SF2,Street Fighter II
36,Juri,3.136,11-2016,SSF4,Street Fighter IV
37,Boxer,3.095,11-2016,SF2,Street Fighter II
38,Ibuki,2.907,11-2016,SF3,Street Fighter III
39,Rashid,2.799,11-2016,SF5,Street Fighter V
40,Claw,2.769,11-2016,SF2,Street Fighter II
41,Birdie,2.674,11-2016,SF1,Street Fighter
42,Dhalsim,1.469,11-2016,SF2,Street Fighter II
43,F.A.N.G.,1.236,11-2016,SF5,Street Fighter V
44,Ryu,13.614,12-2016,SF1,Street Fighter
45,Akuma,13.464,12-2016,SF2T,Street Fighter II
46,Ken,8.183,12-2016,SF1,Street Fighter
47,Urien,4.631,12-2016,SF3GI,Street Fighter III
48,Cammy,4.539,12-2016,SF2NC,Street Fighter II
49,Karin,4.312,12-2016,SFA3,Street Fighter Alpha
50,Nash,4.148,12-2016,SFA,Street Fighter Alpha
51,Zangief,4.112,12-2016,SF2,Street Fighter II
52,Laura,4.111,12-2016,SF5,Street Fighter V
53,Guile,4.003,12-2016,SF2,Street Fighter II
54,Dictator,3.681,12-2016,SF2,Street Fighter II
55,Juri,3.467,12-2016,SSF4,Street Fighter IV
56,Alex,3.311,12-2016,SF3,Street Fighter III
57,Boxer,3.213,12-2016,SF2,Street Fighter II
58,Ibuki,2.941,12-2016,SF3,Street Fighter III
59,Necalli,2.931,12-2016,SF5,Street Fighter V
60,Chun-Li,2.811,12-2016,SF2,Street Fighter II
61,R. Mika,2.623,12-2016,SFA3,Street Fighter Alpha
62,Rashid,2.574,12-2016,SF5,Street Fighter V
63,Claw,2.444,12-2016,SF2,Street Fighter II
64,Birdie,2.257,12-2016,SF1,Street Fighter
65,Dhalsim,1.386,12-2016,SF2,Street Fighter II
66,F.A.N.G.,1.205,12-2016,SF5,Street Fighter V
67,Akuma,13.922,01-2017,SF2T,Street Fighter II
68,Ryu,11.632,01-2017,SF1,Street Fighter
69,Ken,7.401,01-2017,SF1,Street Fighter
70,Urien,5.41,01-2017,SF3GI,Street Fighter III
71,Cammy,4.783,01-2017,SF2NC,Street Fighter II
72,Laura,4.765,01-2017,SF5,Street Fighter V
73,Guile,4.733,01-2017,SF2,Street Fighter II
74,Zangief,4.669,01-2017,SF2,Street Fighter II
75,Karin,4.192,01-2017,SFA3,Street Fighter Alpha
76,Boxer,4.05,01-2017,SF2,Street Fighter II
77,Dictator,3.974,01-2017,SF2,Street Fighter II
78,Ibuki,3.581,01-2017,SF3,Street Fighter III
79,Juri,3.372,01-2017,SSF4,Street Fighter IV
80,Nash,3.304,01-2017,SFA,Street Fighter Alpha
81,Alex,3.118,01-2017,SF3,Street Fighter III
82,Rashid,2.851,01-2017,SF5,Street Fighter V
83,Necalli,2.739,01-2017,SF5,Street Fighter V
84,Chun-Li,2.32,01-2017,SF2,Street Fighter II
85,Claw,2.221,01-2017,SF2,Street Fighter II
86,Birdie,2.202,01-2017,SF1,Street Fighter
87,R. Mika,2.147,01-2017,SFA3,Street Fighter Alpha
88,Dhalsim,1.436,01-2017,SF2,Street Fighter II
89,F.A.N.G.,1.179,01-2017,SF5,Street Fighter V
90,Ryu,12.764,02-2017,SF1,Street Fighter
91,Akuma,10.634,02-2017,SF2T,Street Fighter II
92,Ken,8.072,02-2017,SF1,Street Fighter
93,Urien,5.208,02-2017,SF3GI,Street Fighter III
94,Cammy,5.027,02-2017,SF2NC,Street Fighter II
95,Zangief,4.717,02-2017,SF2,Street Fighter II
96,Laura,4.497,02-2017,SF5,Street Fighter V
97,Guile,4.484,02-2017,SF2,Street Fighter II
98,Karin,4.457,02-2017,SFA3,Street Fighter Alpha
99,Boxer,4.144,02-2017,SF2,Street Fighter II
100,Dictator,4.116,02-2017,SF2,Street Fighter II
101,Nash,3.553,02-2017,SFA,Street Fighter Alpha
102,Ibuki,3.534,02-2017,SF3,Street Fighter III
103,Alex,3.296,02-2017,SF3,Street Fighter III
104,Juri,3.099,02-2017,SSF4,Street Fighter IV
105,Necalli,3.094,02-2017,SF5,Street Fighter V
106,Rashid,2.933,02-2017,SF5,Street Fighter V
107,R. Mika,2.491,02-2017,SFA3,Street Fighter Alpha
108,Chun-Li,2.443,02-2017,SF2,Street Fighter II
109,Birdie,2.304,02-2017,SF1,Street Fighter
110,Claw,2.228,02-2017,SF2,Street Fighter II
111,Dhalsim,1.642,02-2017,SF2,Street Fighter II
112,F.A.N.G.,1.262,02-2017,SF5,Street Fighter V
113,Ryu,11.335,03-2017,SF1,Street Fighter
114,Kolin,10.237,03-2017,SF3,Street Fighter III
115,Akuma,8.729,03-2017,SF2T,Street Fighter II
116,Ken,7.346,03-2017,SF1,Street Fighter
117,Cammy,4.575,03-2017,SF2NC,Street Fighter II
118,Zangief,4.528,03-2017,SF2,Street Fighter II
119,Urien,4.515,03-2017,SF3GI,Street Fighter III
120,Guile,4.371,03-2017,SF2,Street Fighter II
121,Karin,3.98,03-2017,SFA3,Street Fighter Alpha
122,Dictator,3.713,03-2017,SF2,Street Fighter II
123,Laura,3.713,03-2017,SF5,Street Fighter V
124,Boxer,3.635,03-2017,SF2,Street Fighter II
125,Ibuki,3.585,03-2017,SF3,Street Fighter III
126,Nash,3.2,03-2017,SFA,Street Fighter Alpha
127,Alex,2.986,03-2017,SF3,Street Fighter III
128,Necalli,2.936,03-2017,SF5,Street Fighter V
129,Juri,2.649,03-2017,SSF4,Street Fighter IV
130,Rashid,2.6,03-2017,SF5,Street Fighter V
131,R. Mika,2.484,03-2017,SFA3,Street Fighter Alpha
132,Birdie,2.113,03-2017,SF1,Street Fighter
133,Chun-Li,2.1,03-2017,SF2,Street Fighter II
134,Claw,2.057,03-2017,SF2,Street Fighter II
135,Dhalsim,1.486,03-2017,SF2,Street Fighter II
136,F.A.N.G.,1.127,03-2017,SF5,Street Fighter V
137,Ryu,11.622,04-2017,SF1,Street Fighter
138,Akuma,8.822,04-2017,SF2T,Street Fighter II
139,Ken,8.045,04-2017,SF1,Street Fighter
140,Zangief,5.057,04-2017,SF2,Street Fighter II
141,Guile,4.922,04-2017,SF2,Street Fighter II
142,Cammy,4.756,04-2017,SF2NC,Street Fighter II
143,Urien,4.323,04-2017,SF3GI,Street Fighter III
144,Karin,4.287,04-2017,SFA3,Street Fighter Alpha
145,Kolin,4.201,04-2017,SF3,Street Fighter III
146,Laura,4.092,04-2017,SF5,Street Fighter V
147,Dictator,4.017,04-2017,SF2,Street Fighter II
148,Boxer,3.919,04-2017,SF2,Street Fighter II
